"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"03249","Gilford, NH",7113,1 
"03251","Lincoln, NH",1662,1 
"03253","Meredith, NH",6219,1 
"03254","Moultonborough, NH",4049,1 
"03255","Newbury, NH",2090,1 
"03256","New Hampton, NH",2169,1 
"03257","New London, NH",4455,1 
"03258","Chichester, NH",2517,1 
"03259","North Sandwich, NH",368,1 
"03260","North Sutton, NH (PO Boxes)",809,1 
"03261","Northwood, NH",4246,1 
"03262","North Woodstock, NH",1231,1 
"03263","Pittsfield, NH",4114,1 
"03264","Plymouth, NH",7468,1 
"03266","Rumney, NH",2163,1 
"03268","Salisbury, NH",1272,1 
"03269","Sanbornton, NH",2966,1 
"03273","South Sutton, NH (PO Boxes)",312,1 
"03275","Suncook, NH",11437,1 
"03276","Tilton, NH",8324,1 
"03278","Warner, NH",2952,1 
"03279","Warren, NH",829,1 
"03280","Washington, NH",1123,1 
"03281","Weare, NH",8785,1 
"03282","Wentworth, NH",902,1 
"03284","Springfield, NH",999,1 
"03285","Thornton, NH",2479,1 
"03287","Wilmot, NH",1295,1 
"03290","Nottingham, NH",4731,1 
"03291","West Nottingham, NH",39,1 
"03293","Woodstock, NH",143,1 
"03301","Concord, NH",33008,1 
"03303","Concord, NH",15524,1 
"03304","Bow, NH",7519,1 
"03307","Loudon, NH",5334,1 
"03431","Keene, NH",25280,1 
"03440","Antrim, NH",2692,1 
"03441","Ashuelot, NH",395,1 
"03442","Bennington, NH",1491,1 
"03443","Chesterfield, NH",742,1 
"03444","Dublin, NH (PO Boxes)",1590,1 
"03445","Sullivan, NH",691,1 
